annee,bassin,cyclone_numero,date_debut,date_fin,fichier
1997,SH,1,1996-07-08T06:00:00,1996-07-13T06:00:00,TCPRIMED_v01r01-final_SH011997_env_s19960708060000_e19960713060000.nc
1997,SH,2,1996-08-14T18:00:00,1996-08-21T06:00:00,TCPRIMED_v01r01-final_SH021997_env_s19960814180000_e19960821060000.nc
1997,SH,3,1996-09-02T18:00:00,1996-09-09T18:00:00,TCPRIMED_v01r01-final_SH031997_env_s19960902180000_e19960909180000.nc
1997,SH,4,1996-10-15T00:00:00,1996-10-23T06:00:00,TCPRIMED_v01r01-final_SH041997_env_s19961015000000_e19961023060000.nc
1997,SH,5,1996-10-28T00:00:00,1996-11-12T12:00:00,TCPRIMED_v01r01-final_SH051997_env_s19961028000000_e19961112120000.nc
1997,SH,6,1996-11-19T00:00:00,1996-12-01T06:00:00,TCPRIMED_v01r01-final_SH061997_env_s19961119000000_e19961201060000.nc
1997,SH,7,1996-11-20T00:00:00,1996-12-01T12:00:00,TCPRIMED_v01r01-final_SH071997_env_s19961120000000_e19961201120000.nc
1997,SH,8,1996-12-01T12:00:00,1996-12-10T06:00:00,TCPRIMED_v01r01-final_SH081997_env_s19961201120000_e19961210060000.nc
1997,SH,9,1996-12-03T12:00:00,1996-12-16T12:00:00,TCPRIMED_v01r01-final_SH091997_env_s19961203120000_e19961216120000.nc
1997,SH,10,1996-12-10T12:00:00,1996-12-17T06:00:00,TCPRIMED_v01r01-final_SH101997_env_s19961210120000_e19961217060000.nc
1997,SH,11,1996-12-13T18:00:00,1996-12-27T06:00:00,TCPRIMED_v01r01-final_SH111997_env_s19961213180000_e19961227060000.nc
1997,SH,12,1996-12-22T06:00:00,1997-01-16T12:00:00,TCPRIMED_v01r01-final_SH121997_env_s19961222060000_e19970116120000.nc
1997,SH,13,1996-12-19T06:00:00,1996-12-30T18:00:00,TCPRIMED_v01r01-final_SH131997_env_s19961219060000_e19961230180000.nc
1997,SH,14,1996-12-25T18:00:00,1997-01-09T00:00:00,TCPRIMED_v01r01-final_SH141997_env_s19961225180000_e19970109000000.nc
1997,SH,15,1996-12-30T00:00:00,1997-01-11T12:00:00,TCPRIMED_v01r01-final_SH151997_env_s19961230000000_e19970111120000.nc
1997,SH,16,1997-01-01T00:00:00,1997-01-11T12:00:00,TCPRIMED_v01r01-final_SH161997_env_s19970101000000_e19970111120000.nc
1997,SH,17,1997-01-08T12:00:00,1997-01-17T12:00:00,TCPRIMED_v01r01-final_SH171997_env_s19970108120000_e19970117120000.nc
1997,SH,18,1997-01-07T12:00:00,1997-01-13T18:00:00,TCPRIMED_v01r01-final_SH181997_env_s19970107120000_e19970113180000.nc
1997,SH,19,1997-01-13T06:00:00,1997-02-14T12:00:00,TCPRIMED_v01r01-final_SH191997_env_s19970113060000_e19970214120000.nc
1997,SH,20,1997-01-18T00:00:00,1997-01-31T18:00:00,TCPRIMED_v01r01-final_SH201997_env_s19970118000000_e19970131180000.nc
1997,SH,21,1997-01-17T18:00:00,1997-01-30T00:00:00,TCPRIMED_v01r01-final_SH211997_env_s19970117180000_e19970130000000.nc
1997,SH,22,1997-01-20T12:00:00,1997-02-03T00:00:00,TCPRIMED_v01r01-final_SH221997_env_s19970120120000_e19970203000000.nc
1997,SH,23,1997-02-01T00:00:00,1997-02-17T06:00:00,TCPRIMED_v01r01-final_SH231997_env_s19970201000000_e19970217060000.nc
1997,SH,24,1997-02-08T00:00:00,1997-02-12T12:00:00,TCPRIMED_v01r01-final_SH241997_env_s19970208000000_e19970212120000.nc
1997,SH,25,1997-02-11T00:00:00,1997-02-26T06:00:00,TCPRIMED_v01r01-final_SH251997_env_s19970211000000_e19970226060000.nc
1997,SH,26,1997-02-14T06:00:00,1997-02-22T18:00:00,TCPRIMED_v01r01-final_SH261997_env_s19970214060000_e19970222180000.nc
1997,SH,27,1997-02-16T12:00:00,1997-02-26T06:00:00,TCPRIMED_v01r01-final_SH271997_env_s19970216120000_e19970226060000.nc
1997,SH,28,1997-02-22T06:00:00,1997-02-25T00:00:00,TCPRIMED_v01r01-final_SH281997_env_s19970222060000_e19970225000000.nc
1997,SH,29,1997-02-21T18:00:00,1997-03-01T12:00:00,TCPRIMED_v01r01-final_SH291997_env_s19970221180000_e19970301120000.nc
1997,SH,30,1997-02-25T18:00:00,1997-03-02T18:00:00,TCPRIMED_v01r01-final_SH301997_env_s19970225180000_e19970302180000.nc
1997,SH,31,1997-03-02T00:00:00,1997-03-13T00:00:00,TCPRIMED_v01r01-final_SH311997_env_s19970302000000_e19970313000000.nc
1997,SH,32,1997-03-03T06:00:00,1997-03-29T12:00:00,TCPRIMED_v01r01-final_SH321997_env_s19970303060000_e19970329120000.nc
1997,SH,33,1997-03-12T00:00:00,1997-03-18T18:00:00,TCPRIMED_v01r01-final_SH331997_env_s19970312000000_e19970318180000.nc
1997,SH,34,1997-04-15T00:00:00,1997-04-19T18:00:00,TCPRIMED_v01r01-final_SH341997_env_s19970415000000_e19970419180000.nc
1997,SH,35,1997-04-27T18:00:00,1997-05-06T12:00:00,TCPRIMED_v01r01-final_SH351997_env_s19970427180000_e19970506120000.nc
1997,SH,36,1997-05-04T12:00:00,1997-05-17T12:00:00,TCPRIMED_v01r01-final_SH361997_env_s19970504120000_e19970517120000.nc
1997,SH,37,1997-05-26T18:00:00,1997-05-30T06:00:00,TCPRIMED_v01r01-final_SH371997_env_s19970526180000_e19970530060000.nc
1997,SH,38,1997-06-05T00:00:00,1997-06-15T06:00:00,TCPRIMED_v01r01-final_SH381997_env_s19970605000000_e19970615060000.nc
1997,WP,1,1997-01-11T00:00:00,1997-01-27T12:00:00,TCPRIMED_v01r01-final_WP011997_env_s19970111000000_e19970127120000.nc
1997,WP,2,1997-04-09T00:00:00,1997-04-23T18:00:00,TCPRIMED_v01r01-final_WP021997_env_s19970409000000_e19970423180000.nc
1997,WP,3,1997-04-18T00:00:00,1997-04-26T00:00:00,TCPRIMED_v01r01-final_WP031997_env_s19970418000000_e19970426000000.nc
