min_bt,max_bt,mean_bt,std_bt,bt_r0_20,bt_r20_50,bt_r50_70,bt_r70_100,grad_inner,grad_outer,bt_asym_index,vmax,vmean,vmin,Rmax,Rvmax_90,Rvmax_80,shear_mean,shear_deep,shear_shallow,shear_gradient,shear_cos,shear_sin,cps_sym,cps_depth,warm_core_index,wind_env_mag,wind_env_dir_x,wind_env_dir_y,twind_mean,twind_max,vort_mean,vort_max,vort_integral,ratio_eye_wall,ratio_wall_bt
189.12791,282.18292,215.85411,15.550412,204.9064,203.70001,206.46043,213.02455,-1.2063904,2.7604218,7.0897336,40.03999999993413,17.814391915314033,7.568424704313765,45.48626166217664,46.742715059839284,46.394570206905264,10.67994,13.814725,7.5451555,6.2695694,-0.5569296,-0.8183833,2.0,0.0,0.0,2.884459,-0.94927377,0.31444958,-1.6473346,1.9655801,2.511013e-06,9.5238e-06,5.77533e-05,1.0059224,1.3852867
188.13379,296.10266,263.064,33.444042,266.22424,265.5189,263.23956,264.14972,-0.7053528,-2.2793274,29.829718,19.679743708898123,13.847938661267728,5.340281357392696,46.17358552246078,62.59274093556212,59.87208564585054,10.361387,14.132896,6.589878,7.5430183,-0.57195514,0.8177026,0.0,3.0,0.0,3.659812,0.8719136,-0.48965922,0.6186561,2.7048092,-2.5110132e-06,6.105e-07,-5.7753303e-05,1.0026565,1.1151849
189.39716,294.75388,246.09967,24.023983,220.29016,222.43243,228.0233,236.7062,2.142273,5.590866,15.610303,19.52758801825299,7.717221940797595,1.5417363551955288,41.30375285612676,97.20980804703662,91.63946987772219,4.7039332,6.98969,2.4181767,4.571513,0.13651608,0.73378253,2.0,0.0,0.0,2.9272504,-0.11134686,0.9937812,0.28313273,4.9224963,1.9111312e-07,8.1807e-06,4.3956015e-06,0.9903689,1.3251389
199.07092,295.85233,259.72244,27.500118,216.13135,235.26775,255.90068,258.90884,19.136398,20.632935,18.254795,19.64920134836683,17.004688234819373,15.102575414697474,40.607881008493905,93.55195800653146,105.99623593249213,4.149995,6.396839,1.9031506,4.4936886,-0.101677686,0.45828938,2.0,0.0,0.0,2.6741161,-0.6897803,0.7240183,-1.0034119,1.3118111,3.3126262e-06,7.4481004e-06,7.61904e-05,0.9186612,1.2575133
200.95314,296.70914,258.76297,29.852419,213.34563,212.29753,230.95602,245.77208,-1.0480957,18.658493,16.422478,25.82499977872488,22.493888734219446,17.701880685545827,41.617304093369626,45.720973240046916,52.52397533203866,2.9793625,2.41932,3.5394049,-1.1200848,-0.7481034,0.09114802,2.0,0.0,0.0,3.3424776,-0.43607622,0.89990944,-0.84772605,0.88878405,2.6543386e-08,5.2503e-06,6.1049786e-07,1.0049369,1.39761
194.03308,295.4862,246.7225,27.472607,258.59848,250.39754,251.31042,247.36429,-8.200943,0.9128876,19.186277,32.63999999999934,16.738824425967348,6.2784038093010635,18.027756377319946,15.26929653358274,23.641846708959527,5.439275,7.837002,3.0415478,4.795454,-0.16880679,0.8194643,2.0,0.0,0.0,1.6589648,-0.750567,0.66079336,-0.13394926,0.841781,3.339169e-06,8.0586005e-06,7.680089e-05,1.0327517,1.1800684
199.40837,295.47446,238.13823,24.841959,258.58383,215.03967,211.18503,222.48105,-43.54416,-3.8546448,12.180623,56.06000000000002,33.85023613400485,7.802967299460315,15.0,15.852518021123666,19.477784676133602,5.470557,8.799526,2.1415882,6.657938,-0.32933277,0.9094518,2.0,0.0,0.0,5.2177353,0.76435256,0.6447982,2.6849303,6.935079,-7.633905e-06,1.0989e-06,-0.0001755798,1.2024935,1.3740462
197.74295,292.69165,244.60004,31.20948,206.72722,209.19704,212.74867,225.24048,2.469818,3.5516357,17.680542,37.740000000252444,34.522638998571686,29.340004931149245,44.181444068749045,50.835460731837266,59.890297992891526,7.48049,12.717531,2.2434492,10.474082,-0.5155897,0.38470858,2.0,0.0,0.0,6.7986975,0.95398337,0.29985926,5.007027,8.4477215,-8.249713e-06,6.9597004e-06,-0.0001897434,0.9881938,1.3991195
198.69846,296.20972,241.29723,21.871777,221.21327,209.53902,221.4776,230.58917,-11.674255,11.938583,6.0755224,60.38000000000001,32.71711329700909,15.138846270993303,8.246211251235321,6.934376552231999,7.155284291271158,3.889049,5.0974503,2.6806479,2.4168024,-0.48479694,0.8078841,2.0,0.0,0.0,3.4853668,0.2598855,0.9656392,0.7613371,3.354305,-5.5900555e-06,1.4652001e-06,-0.00012857128,1.055714,1.4136256
184.45872,296.3847,250.26598,37.850986,211.76459,227.92592,237.89581,247.20914,16.161331,9.969894,33.911396,32.05999997301008,14.59236641228181,6.185179308111378,23.345235059857504,68.36167238206924,51.238039250803475,8.455414,11.581042,5.3297844,6.251258,-0.35087144,0.90711,1.0,0.0,0.0,4.3868237,0.9926121,-0.12132853,-0.11016911,1.9399421,-4.3425134e-06,2.5641002e-06,-9.9877805e-05,0.92909396,1.3003554
196.10974,294.55212,241.3711,18.90801,223.2056,237.54599,242.8465,238.87671,14.340393,5.3005066,13.757623,24.89806959862555,8.61860388530833,2.0429652301948837,27.294688127912362,86.35209269306445,80.6346290846388,5.598169,8.195612,3.0007257,5.194886,0.22994375,0.9298035,2.0,0.0,0.0,4.334767,0.46748638,0.884,-1.2090733,0.96569806,-6.3757434e-06,4.884e-07,-0.0001466421,0.9396311,1.2399794
191.85785,296.73334,266.04715,33.26114,237.57784,249.61119,255.77272,262.09338,12.033356,6.1615295,27.56507,34.57999998145793,13.869442996687015,5.601350012593187,19.1049731745428,61.17610445087671,61.587669129010735,7.359173,9.721993,4.996352,4.7256413,-0.46340576,0.8591422,2.0,0.0,0.0,3.7553275,0.92970437,0.36830595,-1.045213,0.52130604,-5.1600523e-06,2.0757002e-06,-0.0001186812,0.9517916,1.1887822
191.47363,293.38943,236.79088,25.98038,239.60814,228.15988,221.27737,226.38591,-11.448257,-6.8825073,18.100466,32.52523323117766,6.106256981075325,0.24334723817289966,42.01190307520001,42.01190307520001,42.01190307520001,2.741879,4.1780357,1.3057222,2.8723135,0.2612065,0.2895217,2.0,0.0,0.0,5.094357,0.04960296,0.99876887,-0.02099344,4.1362643,-3.2064522e-06,4.884e-06,-7.37484e-05,1.0501765,1.285894
200.82524,295.54684,238.79109,27.945997,225.63647,211.16562,210.8867,220.06554,-14.470856,-0.2789154,13.297294,45.839999999999705,32.61411343973421,19.39783243982324,6.082762530298219,9.740128451397625,20.150577737608494,2.8229475,4.1623936,1.4835014,2.6788921,0.4795898,0.609353,2.0,0.0,0.0,4.1607647,0.55246377,0.8335366,1.3595572,3.435492,-7.3631604e-06,2.0757002e-06,-0.00016935269,1.0685284,1.3995974
