,sid,name,date,wind_speed (m/s),lon,lat,ir_path
92,sh062024,ANGGREK,2024-01-22 00:00:00,23,91.7,-12.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122000000.nc
93,sh062024,ANGGREK,2024-01-22 03:00:00,23,91.6,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122030000.nc
94,sh062024,ANGGREK,2024-01-22 06:00:00,23,91.5,-12.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122060000.nc
95,sh062024,ANGGREK,2024-01-22 09:00:00,22,91.45,-12.35,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122090000.nc
96,sh062024,ANGGREK,2024-01-22 12:00:00,21,91.4,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122120000.nc
97,sh062024,ANGGREK,2024-01-22 15:00:00,21,91.45,-12.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122150000.nc
98,sh062024,ANGGREK,2024-01-22 18:00:00,21,91.5,-12.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122180000.nc
99,sh062024,ANGGREK,2024-01-22 21:00:00,21,91.55,-12.7,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240122210000.nc
100,sh062024,ANGGREK,2024-01-23 00:00:00,21,91.6,-12.8,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123000000.nc
101,sh062024,ANGGREK,2024-01-23 03:00:00,22,91.6,-12.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123030000.nc
102,sh062024,ANGGREK,2024-01-23 06:00:00,23,91.6,-13.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123060000.nc
103,sh062024,ANGGREK,2024-01-23 09:00:00,24,91.6,-13.15,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123090000.nc
104,sh062024,ANGGREK,2024-01-23 12:00:00,26,91.6,-13.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123120000.nc
105,sh062024,ANGGREK,2024-01-23 15:00:00,26,91.55,-13.45,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123150000.nc
106,sh062024,ANGGREK,2024-01-23 18:00:00,26,91.5,-13.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123180000.nc
107,sh062024,ANGGREK,2024-01-23 21:00:00,27,91.4,-13.75,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240123210000.nc
108,sh062024,ANGGREK,2024-01-24 00:00:00,28,91.3,-13.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124000000.nc
109,sh062024,ANGGREK,2024-01-24 03:00:00,31,91.25,-13.95,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124030000.nc
110,sh062024,ANGGREK,2024-01-24 06:00:00,33,91.2,-14.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124060000.nc
111,sh062024,ANGGREK,2024-01-24 09:00:00,36,91.15,-14.1,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124090000.nc
112,sh062024,ANGGREK,2024-01-24 12:00:00,39,91.1,-14.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124120000.nc
113,sh062024,ANGGREK,2024-01-24 15:00:00,40,91.1,-14.35,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124150000.nc
114,sh062024,ANGGREK,2024-01-24 18:00:00,41,91.1,-14.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124180000.nc
115,sh062024,ANGGREK,2024-01-24 21:00:00,41,90.95,-14.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240124210000.nc
116,sh062024,ANGGREK,2024-01-25 00:00:00,41,90.8,-14.7,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125000000.nc
117,sh062024,ANGGREK,2024-01-25 03:00:00,41,90.4,-14.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125030000.nc
118,sh062024,ANGGREK,2024-01-25 06:00:00,41,90.0,-15.1,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125060000.nc
119,sh062024,ANGGREK,2024-01-25 09:00:00,44,89.65,-15.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125090000.nc
120,sh062024,ANGGREK,2024-01-25 12:00:00,46,89.3,-15.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125120000.nc
121,sh062024,ANGGREK,2024-01-25 15:00:00,48,88.8,-15.75,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125150000.nc
122,sh062024,ANGGREK,2024-01-25 18:00:00,49,88.3,-16.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125180000.nc
123,sh062024,ANGGREK,2024-01-25 21:00:00,51,87.89999999999999,-16.15,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240125210000.nc
124,sh062024,ANGGREK,2024-01-26 00:00:00,54,87.5,-16.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126000000.nc
